Item Name,Listings,Price,Currency,Timestamp
Revolver Case,"33,472",2.73,CDN,2023-12-18 14:55:09.805145
Falchion Case,"27,154",1.53,CDN,2023-12-18 14:55:09.805148
Shadow Case,"26,098",1.42,CDN,2023-12-18 14:55:09.805149
Horizon Case,"54,200",1.40,CDN,2023-12-18 14:55:09.805149
Clutch Case,"134,333",0.82,CDN,2023-12-18 14:55:09.805150
Chroma Case,"8,547",4.07,CDN,2023-12-18 14:55:09.805150
Gamma Case,"31,928",3.23,CDN,2023-12-18 14:55:09.805151
Glove Case,"44,907",6.56,CDN,2023-12-18 14:55:09.805151
Spectrum Case,"19,810",3.62,CDN,2023-12-18 14:55:09.805151
Fracture Case,"325,052",0.81,CDN,2023-12-18 14:55:09.805152
Snakebite Case,"475,642",0.39,CDN,2023-12-18 14:55:13.020319
Recoil Case,"303,547",0.42,CDN,2023-12-18 14:55:13.020321
Fracture Case,"325,052",0.81,CDN,2023-12-18 14:55:13.020322
Clutch Case,"134,333",0.82,CDN,2023-12-18 14:55:13.020322
Revolution Case,"232,253",0.98,CDN,2023-12-18 14:55:13.020322
CS20 Case,"48,925",1.04,CDN,2023-12-18 14:55:13.020323
Prisma Case,"94,072",1.07,CDN,2023-12-18 14:55:13.020323
Prisma 2 Case,"117,095",1.18,CDN,2023-12-18 14:55:13.020324
Danger Zone Case,"129,875",1.28,CDN,2023-12-18 14:55:13.020324
Horizon Case,"54,200",1.40,CDN,2023-12-18 14:55:13.020324
Shadow Case,"26,099",1.42,CDN,2023-12-18 14:55:14.708941
Falchion Case,"27,154",1.53,CDN,2023-12-18 14:55:14.708944
Dreams & Nightmares Case,"238,368",1.55,CDN,2023-12-18 14:55:14.708945
Spectrum 2 Case,"75,458",2.45,CDN,2023-12-18 14:55:14.708945
Revolver Case,"33,452",2.82,CDN,2023-12-18 14:55:14.708945
Chroma 3 Case,"46,767",2.89,CDN,2023-12-18 14:55:14.708946
Gamma Case,"31,928",3.23,CDN,2023-12-18 14:55:14.708946
Gamma 2 Case,"45,101",3.24,CDN,2023-12-18 14:55:14.708947
Operation Wildfire Case,"15,480",3.33,CDN,2023-12-18 14:55:14.708947
Chroma 2 Case,"38,595",3.49,CDN,2023-12-18 14:55:14.708947
Spectrum Case,"19,810",3.62,CDN,2023-12-18 14:55:16.375573
Operation Vanguard Weapon Case,"4,521",3.99,CDN,2023-12-18 14:55:16.375576
Chroma Case,"8,547",4.07,CDN,2023-12-18 14:55:16.375576
Operation Phoenix Weapon Case,"19,473",4.51,CDN,2023-12-18 14:55:16.375577
Shattered Web Case,"4,789",5.89,CDN,2023-12-18 14:55:16.375577
Glove Case,"44,907",6.56,CDN,2023-12-18 14:55:16.375578
Operation Broken Fang Case,"6,076",7.18,CDN,2023-12-18 14:55:16.375578
Operation Riptide Case,"3,356",8.30,CDN,2023-12-18 14:55:16.375578
Operation Breakout Weapon Case,"32,306",8.78,CDN,2023-12-18 14:55:16.375579
Winter Offensive Weapon Case,"1,964",8.87,CDN,2023-12-18 14:55:16.375579
eSports 2014 Summer Case,"2,158",10.39,CDN,2023-12-18 14:55:17.511082
CS:GO Weapon Case 3,"2,276",10.46,CDN,2023-12-18 14:55:17.511084
eSports 2013 Winter Case,"2,277",11.35,CDN,2023-12-18 14:55:17.511085
Huntsman Weapon Case,"3,192",13.29,CDN,2023-12-18 14:55:17.511085
CS:GO Weapon Case 2,"1,890",18.07,CDN,2023-12-18 14:55:17.511086
Operation Hydra Case,"1,307",26.61,CDN,2023-12-18 14:55:17.511086
eSports 2013 Case,348,61.36,CDN,2023-12-18 14:55:17.511086
Operation Bravo Case,"1,064",62.28,CDN,2023-12-18 14:55:17.511087
CS:GO Weapon Case,956,112.61,CDN,2023-12-18 14:55:17.511087
Shadow Case,"25,881",1.52,CDN,2023-12-18 23:54:34.445105
Falchion Case,"27,059",1.54,CDN,2023-12-18 23:54:34.445108
Revolver Case,"33,606",2.79,CDN,2023-12-18 23:54:34.445109
Horizon Case,"55,383",1.28,CDN,2023-12-18 23:54:34.445109
Clutch Case,"133,689",0.83,CDN,2023-12-18 23:54:34.445110
Glove Case,"44,893",6.58,CDN,2023-12-18 23:54:34.445110
Chroma Case,"8,481",4.09,CDN,2023-12-18 23:54:34.445110
Fracture Case,"326,785",0.83,CDN,2023-12-18 23:54:34.445111
Snakebite Case,"471,110",0.42,CDN,2023-12-18 23:54:34.445111
Recoil Case,"303,408",0.43,CDN,2023-12-18 23:54:34.445111
Snakebite Case,"471,110",0.42,CDN,2023-12-18 23:54:37.144558
Recoil Case,"303,408",0.43,CDN,2023-12-18 23:54:37.144561
Clutch Case,"133,689",0.83,CDN,2023-12-18 23:54:37.144561
Fracture Case,"326,785",0.83,CDN,2023-12-18 23:54:37.144562
Revolution Case,"232,305",0.96,CDN,2023-12-18 23:54:37.144562
CS20 Case,"48,070",1.06,CDN,2023-12-18 23:54:37.144563
Prisma Case,"94,225",1.16,CDN,2023-12-18 23:54:37.144563
Prisma 2 Case,"116,383",1.21,CDN,2023-12-18 23:54:37.144563
Danger Zone Case,"129,131",1.24,CDN,2023-12-18 23:54:37.144564
Horizon Case,"55,383",1.28,CDN,2023-12-18 23:54:37.144564
Shadow Case,"25,881",1.52,CDN,2023-12-18 23:54:40.848067
Falchion Case,"27,059",1.54,CDN,2023-12-18 23:54:40.848070
Dreams & Nightmares Case,"238,889",1.55,CDN,2023-12-18 23:54:40.848071
Spectrum 2 Case,"75,386",2.44,CDN,2023-12-18 23:54:40.848071
Revolver Case,"33,606",2.79,CDN,2023-12-18 23:54:40.848072
Chroma 3 Case,"46,998",3.03,CDN,2023-12-18 23:54:40.848072
Operation Wildfire Case,"15,417",3.23,CDN,2023-12-18 23:54:40.848073
Gamma 2 Case,"45,136",3.36,CDN,2023-12-18 23:54:40.848073
Gamma Case,"31,733",3.40,CDN,2023-12-18 23:54:40.848073
Chroma 2 Case,"38,398",3.68,CDN,2023-12-18 23:54:40.848074
Spectrum Case,"19,148",3.74,CDN,2023-12-18 23:54:42.572854
Operation Vanguard Weapon Case,"4,570",4.00,CDN,2023-12-18 23:54:42.572858
Chroma Case,"8,481",4.09,CDN,2023-12-18 23:54:42.572858
Operation Phoenix Weapon Case,"19,362",4.41,CDN,2023-12-18 23:54:42.572859
Shattered Web Case,"4,835",5.79,CDN,2023-12-18 23:54:42.572859
Glove Case,"44,893",6.58,CDN,2023-12-18 23:54:42.572860
Operation Broken Fang Case,"5,702",7.39,CDN,2023-12-18 23:54:42.572860
Operation Breakout Weapon Case,"32,024",8.55,CDN,2023-12-18 23:54:42.572861
Operation Riptide Case,"3,254",8.78,CDN,2023-12-18 23:54:42.572861
Winter Offensive Weapon Case,"1,923",8.91,CDN,2023-12-18 23:54:42.572861
eSports 2014 Summer Case,"2,188",10.62,CDN,2023-12-18 23:54:44.730741
CS:GO Weapon Case 3,"2,266",10.69,CDN,2023-12-18 23:54:44.730745
eSports 2013 Winter Case,"2,231",12.32,CDN,2023-12-18 23:54:44.730746
Huntsman Weapon Case,"3,189",13.18,CDN,2023-12-18 23:54:44.730746
CS:GO Weapon Case 2,"1,870",18.82,CDN,2023-12-18 23:54:44.730747
Operation Hydra Case,"1,312",25.95,CDN,2023-12-18 23:54:44.730747
eSports 2013 Case,350,58.10,CDN,2023-12-18 23:54:44.730748
Operation Bravo Case,"1,061",63.38,CDN,2023-12-18 23:54:44.730748
CS:GO Weapon Case,933,115.47,CDN,2023-12-18 23:54:44.730748
Chroma Case,"8,501",4.02,CDN,2023-12-19 19:07:46.910983
Horizon Case,"54,457",1.31,CDN,2023-12-19 19:07:46.910987
Spectrum Case,"19,138",3.73,CDN,2023-12-19 19:07:46.910987
Falchion Case,"27,177",1.52,CDN,2023-12-19 19:07:46.910987
Glove Case,"45,044",6.51,CDN,2023-12-19 19:07:46.910988
Prisma Case,"95,456",1.11,CDN,2023-12-19 19:07:46.910988
Fracture Case,"337,807",0.80,CDN,2023-12-19 19:07:46.910989
Snakebite Case,"483,115",0.39,CDN,2023-12-19 19:07:46.910989
Recoil Case,"309,974",0.42,CDN,2023-12-19 19:07:46.910989
Revolution Case,"233,247",0.94,CDN,2023-12-19 19:07:46.910990
Snakebite Case,"483,115",0.39,CDN,2023-12-19 19:07:53.064194
Recoil Case,"309,974",0.42,CDN,2023-12-19 19:07:53.064197
Fracture Case,"337,807",0.80,CDN,2023-12-19 19:07:53.064198
Clutch Case,"134,180",0.83,CDN,2023-12-19 19:07:53.064198
Revolution Case,"233,247",0.94,CDN,2023-12-19 19:07:53.064199
CS20 Case,"49,829",1.06,CDN,2023-12-19 19:07:53.064199
Prisma Case,"95,456",1.11,CDN,2023-12-19 19:07:53.064199
Prisma 2 Case,"116,548",1.23,CDN,2023-12-19 19:07:53.064200
Danger Zone Case,"130,342",1.23,CDN,2023-12-19 19:07:53.064200
Horizon Case,"54,457",1.31,CDN,2023-12-19 19:07:53.064200
Dreams & Nightmares Case,"242,325",1.49,CDN,2023-12-19 19:07:56.713774
Shadow Case,"26,063",1.51,CDN,2023-12-19 19:07:56.713778
Falchion Case,"27,177",1.52,CDN,2023-12-19 19:07:56.713778
Spectrum 2 Case,"75,727",2.39,CDN,2023-12-19 19:07:56.713779
Revolver Case,"33,771",2.79,CDN,2023-12-19 19:07:56.713779
Chroma 3 Case,"46,296",2.91,CDN,2023-12-19 19:07:56.713780
Gamma 2 Case,"45,415",3.17,CDN,2023-12-19 19:07:56.713781
Operation Wildfire Case,"15,288",3.34,CDN,2023-12-19 19:07:56.713781
Gamma Case,"31,849",3.41,CDN,2023-12-19 19:07:56.713781
Chroma 2 Case,"39,121",3.51,CDN,2023-12-19 19:07:56.713782
Spectrum Case,"19,138",3.73,CDN,2023-12-19 19:08:12.419969
Chroma Case,"8,500",4.02,CDN,2023-12-19 19:08:12.419973
Operation Vanguard Weapon Case,"4,624",4.17,CDN,2023-12-19 19:08:12.419974
Operation Phoenix Weapon Case,"19,778",4.56,CDN,2023-12-19 19:08:12.419974
Shattered Web Case,"4,746",6.30,CDN,2023-12-19 19:08:12.419975
Glove Case,"45,044",6.51,CDN,2023-12-19 19:08:12.419975
Operation Broken Fang Case,"5,804",7.30,CDN,2023-12-19 19:08:12.419976
Operation Riptide Case,"3,376",8.40,CDN,2023-12-19 19:08:12.419976
Operation Breakout Weapon Case,"32,880",8.78,CDN,2023-12-19 19:08:12.419976
Winter Offensive Weapon Case,"1,901",9.33,CDN,2023-12-19 19:08:12.419977
eSports 2014 Summer Case,"2,272",10.32,CDN,2023-12-19 19:08:14.510924
CS:GO Weapon Case 3,"2,271",11.23,CDN,2023-12-19 19:08:14.510928
eSports 2013 Winter Case,"2,230",12.32,CDN,2023-12-19 19:08:14.510928
Huntsman Weapon Case,"3,170",13.85,CDN,2023-12-19 19:08:14.510929
CS:GO Weapon Case 2,"1,863",19.01,CDN,2023-12-19 19:08:14.510929
Operation Hydra Case,"1,308",26.17,CDN,2023-12-19 19:08:14.510929
eSports 2013 Case,346,58.05,CDN,2023-12-19 19:08:14.510930
Operation Bravo Case,"1,021",64.66,CDN,2023-12-19 19:08:14.510930
CS:GO Weapon Case,963,114.94,CDN,2023-12-19 19:08:14.510930
Chroma Case,"8,600",4.25,CDN,2023-12-20 21:33:20.812387
Falchion Case,"27,105",1.51,CDN,2023-12-20 21:33:20.812390
Glove Case,"45,262",6.46,CDN,2023-12-20 21:33:20.812390
Prisma Case,"95,491",1.07,CDN,2023-12-20 21:33:20.812391
Spectrum Case,"19,344",3.83,CDN,2023-12-20 21:33:20.812391
Gamma Case,"31,937",3.30,CDN,2023-12-20 21:33:20.812391
Horizon Case,"54,336",1.27,CDN,2023-12-20 21:33:20.812392
Clutch Case,"132,972",0.83,CDN,2023-12-20 21:33:20.812392
Fracture Case,"355,845",0.73,CDN,2023-12-20 21:33:20.812393
Snakebite Case,"495,127",0.39,CDN,2023-12-20 21:33:20.812393
Snakebite Case,"495,140",0.39,CDN,2023-12-20 21:33:23.976297
Recoil Case,"316,475",0.42,CDN,2023-12-20 21:33:23.976300
Fracture Case,"355,845",0.74,CDN,2023-12-20 21:33:23.976301
Clutch Case,"132,972",0.83,CDN,2023-12-20 21:33:23.976301
Revolution Case,"238,004",0.88,CDN,2023-12-20 21:33:23.976301
CS20 Case,"50,455",1.06,CDN,2023-12-20 21:33:23.976302
Prisma Case,"95,492",1.07,CDN,2023-12-20 21:33:23.976302
Prisma 2 Case,"117,711",1.16,CDN,2023-12-20 21:33:23.976303
Danger Zone Case,"129,765",1.23,CDN,2023-12-20 21:33:23.976303
Horizon Case,"54,338",1.27,CDN,2023-12-20 21:33:23.976303
Dreams & Nightmares Case,"248,206",1.44,CDN,2023-12-20 21:33:39.627116
Shadow Case,"26,040",1.44,CDN,2023-12-20 21:33:39.627119
Falchion Case,"27,104",1.53,CDN,2023-12-20 21:33:39.627119
Spectrum 2 Case,"76,570",2.42,CDN,2023-12-20 21:33:39.627120
Revolver Case,"34,138",2.58,CDN,2023-12-20 21:33:39.627120
Chroma 3 Case,"46,853",2.94,CDN,2023-12-20 21:33:39.627121
Chroma 2 Case,"37,303",3.29,CDN,2023-12-20 21:33:39.627121
Gamma Case,"31,937",3.30,CDN,2023-12-20 21:33:39.627122
Gamma 2 Case,"45,564",3.38,CDN,2023-12-20 21:33:39.627122
Operation Wildfire Case,"14,489",3.39,CDN,2023-12-20 21:33:39.627123
Spectrum Case,"19,344",3.83,CDN,2023-12-20 21:33:41.826649
Operation Vanguard Weapon Case,"4,738",4.19,CDN,2023-12-20 21:33:41.826652
Chroma Case,"8,600",4.25,CDN,2023-12-20 21:33:41.826653
Operation Phoenix Weapon Case,"19,838",4.55,CDN,2023-12-20 21:33:41.826653
Glove Case,"45,262",6.46,CDN,2023-12-20 21:33:41.826654
Shattered Web Case,"4,626",6.52,CDN,2023-12-20 21:33:41.826654
Operation Broken Fang Case,"6,287",7.18,CDN,2023-12-20 21:33:41.826654
Operation Riptide Case,"3,373",8.45,CDN,2023-12-20 21:33:41.826655
Winter Offensive Weapon Case,"1,934",8.82,CDN,2023-12-20 21:33:41.826655
Operation Breakout Weapon Case,"32,462",8.99,CDN,2023-12-20 21:33:41.826655
eSports 2014 Summer Case,"2,304",10.12,CDN,2023-12-20 21:33:43.990334
CS:GO Weapon Case 3,"2,266",11.33,CDN,2023-12-20 21:33:43.990337
eSports 2013 Winter Case,"2,233",12.95,CDN,2023-12-20 21:33:43.990338
Huntsman Weapon Case,"3,197",13.00,CDN,2023-12-20 21:33:43.990338
CS:GO Weapon Case 2,"1,917",17.80,CDN,2023-12-20 21:33:43.990339
Operation Hydra Case,"1,388",25.25,CDN,2023-12-20 21:33:43.990339
eSports 2013 Case,353,58.96,CDN,2023-12-20 21:33:43.990339
Operation Bravo Case,"1,061",62.65,CDN,2023-12-20 21:33:43.990340
CS:GO Weapon Case,995,113.50,CDN,2023-12-20 21:33:43.990340
Chroma Case,"8,819",3.82,CDN,2023-12-21 11:19:45.920486
Fracture Case,"363,471",0.72,CDN,2023-12-21 11:19:45.920490
Recoil Case,"315,855",0.40,CDN,2023-12-21 11:19:45.920491
Revolution Case,"238,903",0.87,CDN,2023-12-21 11:19:45.920491
Snakebite Case,"508,006",0.38,CDN,2023-12-21 11:19:45.920492
Gamma Case,"32,299",3.12,CDN,2023-12-21 11:19:45.920492
Spectrum Case,"19,418",3.57,CDN,2023-12-21 11:19:45.920493
Horizon Case,"54,012",1.27,CDN,2023-12-21 11:19:45.920493
Falchion Case,"27,406",1.40,CDN,2023-12-21 11:19:45.920493
Revolver Case,"34,889",2.49,CDN,2023-12-21 11:19:45.920494
Snakebite Case,"508,006",0.38,CDN,2023-12-21 11:19:55.767232
Recoil Case,"315,855",0.40,CDN,2023-12-21 11:19:55.767235
Fracture Case,"363,471",0.72,CDN,2023-12-21 11:19:55.767236
Clutch Case,"129,485",0.80,CDN,2023-12-21 11:19:55.767236
Revolution Case,"238,903",0.87,CDN,2023-12-21 11:19:55.767236
CS20 Case,"50,557",1.00,CDN,2023-12-21 11:19:55.767237
Prisma Case,"97,070",1.08,CDN,2023-12-21 11:19:55.767237
Prisma 2 Case,"118,213",1.18,CDN,2023-12-21 11:19:55.767238
Danger Zone Case,"132,033",1.18,CDN,2023-12-21 11:19:55.767238
Horizon Case,"54,012",1.27,CDN,2023-12-21 11:19:55.767239
Dreams & Nightmares Case,"251,548",1.38,CDN,2023-12-21 11:20:00.522008
Falchion Case,"27,406",1.40,CDN,2023-12-21 11:20:00.522011
Shadow Case,"25,915",1.45,CDN,2023-12-21 11:20:00.522011
Spectrum 2 Case,"76,767",2.25,CDN,2023-12-21 11:20:00.522012
Revolver Case,"34,896",2.49,CDN,2023-12-21 11:20:00.522012
Chroma 3 Case,"46,785",2.92,CDN,2023-12-21 11:20:00.522013
Gamma 2 Case,"45,607",3.07,CDN,2023-12-21 11:20:00.522013
Operation Wildfire Case,"15,733",3.12,CDN,2023-12-21 11:20:00.522013
Gamma Case,"32,299",3.12,CDN,2023-12-21 11:20:00.522014
Chroma 2 Case,"37,461",3.30,CDN,2023-12-21 11:20:00.522014
Spectrum Case,"19,418",3.57,CDN,2023-12-21 11:20:03.271450
Chroma Case,"8,820",3.82,CDN,2023-12-21 11:20:03.271454
Operation Vanguard Weapon Case,"4,838",4.00,CDN,2023-12-21 11:20:03.271455
Operation Phoenix Weapon Case,"20,149",4.52,CDN,2023-12-21 11:20:03.271455
Shattered Web Case,"4,868",6.36,CDN,2023-12-21 11:20:03.271456
Glove Case,"45,117",6.40,CDN,2023-12-21 11:20:03.271456
Operation Broken Fang Case,"6,626",6.74,CDN,2023-12-21 11:20:03.271457
Operation Riptide Case,"3,475",8.01,CDN,2023-12-21 11:20:03.271457
Operation Breakout Weapon Case,"32,852",8.20,CDN,2023-12-21 11:20:03.271457
Winter Offensive Weapon Case,"1,964",8.39,CDN,2023-12-21 11:20:03.271458
eSports 2014 Summer Case,"2,351",9.86,CDN,2023-12-21 11:20:08.455722
CS:GO Weapon Case 3,"2,244",10.27,CDN,2023-12-21 11:20:08.455725
eSports 2013 Winter Case,"2,291",11.79,CDN,2023-12-21 11:20:08.455726
Huntsman Weapon Case,"3,226",12.49,CDN,2023-12-21 11:20:08.455726
CS:GO Weapon Case 2,"1,979",17.55,CDN,2023-12-21 11:20:08.455727
Operation Hydra Case,"1,388",25.60,CDN,2023-12-21 11:20:08.455727
eSports 2013 Case,356,60.09,CDN,2023-12-21 11:20:08.455728
Operation Bravo Case,"1,087",61.42,CDN,2023-12-21 11:20:08.455728
CS:GO Weapon Case,"1,013",111.11,CDN,2023-12-21 11:20:08.455728
Chroma Case,"8,758",4.11,CDN,2023-12-22 18:55:25.122583
Spectrum Case,"19,075",3.93,CDN,2023-12-22 18:55:25.122587
Revolver Case,"34,925",2.68,CDN,2023-12-22 18:55:25.122588
Glove Case,"45,938",6.29,CDN,2023-12-22 18:55:25.122588
Gamma Case,"32,646",3.05,CDN,2023-12-22 18:55:25.122588
Horizon Case,"53,223",1.38,CDN,2023-12-22 18:55:25.122589
Prisma Case,"97,652",1.08,CDN,2023-12-22 18:55:25.122589
Fracture Case,"379,602",0.75,CDN,2023-12-22 18:55:25.122590
Snakebite Case,"507,018",0.39,CDN,2023-12-22 18:55:25.122590
Recoil Case,"315,040",0.40,CDN,2023-12-22 18:55:25.122591
Snakebite Case,"507,018",0.39,CDN,2023-12-22 18:55:29.288912
Recoil Case,"315,040",0.40,CDN,2023-12-22 18:55:29.288916
Fracture Case,"379,602",0.75,CDN,2023-12-22 18:55:29.288916
Clutch Case,"133,196",0.81,CDN,2023-12-22 18:55:29.288917
Revolution Case,"236,888",0.92,CDN,2023-12-22 18:55:29.288917
CS20 Case,"50,691",1.00,CDN,2023-12-22 18:55:29.288918
Prisma Case,"97,652",1.08,CDN,2023-12-22 18:55:29.288918
Danger Zone Case,"133,400",1.17,CDN,2023-12-22 18:55:29.288919
Prisma 2 Case,"115,393",1.22,CDN,2023-12-22 18:55:29.288919
Horizon Case,"53,223",1.38,CDN,2023-12-22 18:55:29.288919
Falchion Case,"27,556",1.46,CDN,2023-12-22 18:55:49.333852
Dreams & Nightmares Case,"252,145",1.47,CDN,2023-12-22 18:55:49.333856
Shadow Case,"25,897",1.50,CDN,2023-12-22 18:55:49.333856
Spectrum 2 Case,"76,659",2.41,CDN,2023-12-22 18:55:49.333857
Revolver Case,"34,926",2.68,CDN,2023-12-22 18:55:49.333857
Chroma 3 Case,"46,371",3.02,CDN,2023-12-22 18:55:49.333858
Gamma Case,"32,637",3.07,CDN,2023-12-22 18:55:49.333859
Operation Wildfire Case,"16,147",3.18,CDN,2023-12-22 18:55:49.333859
Gamma 2 Case,"45,214",3.27,CDN,2023-12-22 18:55:49.333860
Chroma 2 Case,"39,093",3.46,CDN,2023-12-22 18:55:49.333860
Spectrum Case,"19,072",3.93,CDN,2023-12-22 18:55:54.081436
Operation Vanguard Weapon Case,"4,830",4.11,CDN,2023-12-22 18:55:54.081439
Chroma Case,"8,760",4.11,CDN,2023-12-22 18:55:54.081439
Operation Phoenix Weapon Case,"20,301",4.37,CDN,2023-12-22 18:55:54.081440
Shattered Web Case,"4,925",6.17,CDN,2023-12-22 18:55:54.081441
Glove Case,"45,937",6.30,CDN,2023-12-22 18:55:54.081441
Operation Broken Fang Case,"6,608",7.13,CDN,2023-12-22 18:55:54.081441
Operation Riptide Case,"3,453",8.21,CDN,2023-12-22 18:55:54.081442
Operation Breakout Weapon Case,"33,370",8.44,CDN,2023-12-22 18:55:54.081442
Winter Offensive Weapon Case,"1,930",9.27,CDN,2023-12-22 18:55:54.081443
eSports 2014 Summer Case,"2,365",9.94,CDN,2023-12-22 18:56:12.260906
CS:GO Weapon Case 3,"2,289",10.89,CDN,2023-12-22 18:56:12.260910
eSports 2013 Winter Case,"2,334",12.39,CDN,2023-12-22 18:56:12.260910
Huntsman Weapon Case,"3,274",12.61,CDN,2023-12-22 18:56:12.260911
CS:GO Weapon Case 2,"1,932",18.58,CDN,2023-12-22 18:56:12.260911
Operation Hydra Case,"1,345",26.52,CDN,2023-12-22 18:56:12.260911
eSports 2013 Case,367,57.92,CDN,2023-12-22 18:56:12.260912
Operation Bravo Case,"1,049",63.94,CDN,2023-12-22 18:56:12.260912
CS:GO Weapon Case,997,110.29,CDN,2023-12-22 18:56:12.260913
Falchion Case,"29,004",1.38,CDN,2024-01-04 12:30:16.184512
Shadow Case,"26,120",1.38,CDN,2024-01-04 12:30:16.184515
Prisma Case,"106,893",0.98,CDN,2024-01-04 12:30:16.184516
Revolver Case,"33,431",2.42,CDN,2024-01-04 12:30:16.184516
Fracture Case,"455,117",0.69,CDN,2024-01-04 12:30:16.184516
Revolution Case,"265,405",0.63,CDN,2024-01-04 12:30:16.184517
Spectrum Case,"22,252",3.53,CDN,2024-01-04 12:30:16.184517
Horizon Case,"60,465",1.28,CDN,2024-01-04 12:30:16.184518
Snakebite Case,"543,535",0.37,CDN,2024-01-04 12:30:16.184518
Recoil Case,"348,790",0.37,CDN,2024-01-04 12:30:16.184518
Recoil Case,"348,790",0.37,CDN,2024-01-04 12:30:20.990669
Snakebite Case,"543,535",0.37,CDN,2024-01-04 12:30:20.990671
Revolution Case,"265,405",0.63,CDN,2024-01-04 12:30:20.990672
Fracture Case,"455,117",0.69,CDN,2024-01-04 12:30:20.990672
Clutch Case,"138,350",0.70,CDN,2024-01-04 12:30:20.990673
Prisma Case,"106,893",0.98,CDN,2024-01-04 12:30:20.990673
CS20 Case,"48,918",1.04,CDN,2024-01-04 12:30:20.990674
Prisma 2 Case,"123,599",1.16,CDN,2024-01-04 12:30:20.990674
Danger Zone Case,"146,405",1.20,CDN,2024-01-04 12:30:20.990675
Dreams & Nightmares Case,"298,522",1.20,CDN,2024-01-04 12:30:20.990675
Horizon Case,"60,465",1.28,CDN,2024-01-04 12:30:22.692781
Shadow Case,"26,120",1.38,CDN,2024-01-04 12:30:22.692784
Falchion Case,"29,002",1.40,CDN,2024-01-04 12:30:22.692785
Spectrum 2 Case,"82,026",2.30,CDN,2024-01-04 12:30:22.692785
Revolver Case,"33,431",2.42,CDN,2024-01-04 12:30:22.692786
Chroma 3 Case,"48,506",2.88,CDN,2024-01-04 12:30:22.692786
Operation Wildfire Case,"16,337",2.96,CDN,2024-01-04 12:30:22.692787
Gamma 2 Case,"50,583",3.02,CDN,2024-01-04 12:30:22.692787
Gamma Case,"34,839",3.04,CDN,2024-01-04 12:30:22.692788
Chroma 2 Case,"41,571",3.28,CDN,2024-01-04 12:30:22.692788
Spectrum Case,"22,252",3.53,CDN,2024-01-04 12:30:26.410309
Operation Vanguard Weapon Case,"5,257",3.85,CDN,2024-01-04 12:30:26.410312
Chroma Case,"9,134",3.87,CDN,2024-01-04 12:30:26.410313
Operation Phoenix Weapon Case,"23,111",4.04,CDN,2024-01-04 12:30:26.410313
Shattered Web Case,"5,006",5.67,CDN,2024-01-04 12:30:26.410314
Glove Case,"45,331",6.29,CDN,2024-01-04 12:30:26.410314
Operation Broken Fang Case,"6,777",6.41,CDN,2024-01-04 12:30:26.410315
Operation Riptide Case,"4,214",8.05,CDN,2024-01-04 12:30:26.410315
Winter Offensive Weapon Case,"2,015",8.62,CDN,2024-01-04 12:30:26.410316
Operation Breakout Weapon Case,"33,271",8.65,CDN,2024-01-04 12:30:26.410316
eSports 2014 Summer Case,"2,327",10.30,CDN,2024-01-04 12:30:28.616069
CS:GO Weapon Case 3,"2,368",10.71,CDN,2024-01-04 12:30:28.616072
eSports 2013 Winter Case,"2,492",11.36,CDN,2024-01-04 12:30:28.616073
Huntsman Weapon Case,"3,362",12.65,CDN,2024-01-04 12:30:28.616073
CS:GO Weapon Case 2,"1,913",16.73,CDN,2024-01-04 12:30:28.616074
Operation Hydra Case,"1,459",24.67,CDN,2024-01-04 12:30:28.616074
eSports 2013 Case,410,58.28,CDN,2024-01-04 12:30:28.616074
Operation Bravo Case,"1,059",62.30,CDN,2024-01-04 12:30:28.616075
CS:GO Weapon Case,919,108.47,CDN,2024-01-04 12:30:28.616075
